RA,DEC,USNO-B1.0,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Bmag1,Rmag1,Bmag2,Rmag2,Imag,Epoch,pmRA,pmDE,e_pmRA,e_pmDE,Flags,B1s/g,R1s/g,B2s/g,R2s/g,Is/g,angDist
345,60,1499-0036151,345.007292,59.977639,0.285,0.256,0.0,,18.6,20.83,19.24,17.83,1982.1,0,0,0,0,...,,9,1,8,,81.563522
345,60,1499-0036153,345.017959,59.978628,0.247,0.23,90.0,19.46,,20.24,,,1971.7,0,0,0,0,...,0,,7,,,83.458317
345,60,1499-0036160,345.046592,59.994662,0.213,0.209,90.0,,19.39,,,18.53,1973.7,0,0,0,0,...,,4,,,,86.045637
345,60,1499-0036138,344.955937,59.990575,0.273,0.211,0.0,19.86,17.01,20.09,16.97,15.72,1976.5,-8,2,2,6,..Y,0,9,6,9,,86.276817
345,60,1499-0036159,345.039998,59.986673,0.203,0.2,0.0,17.08,15.48,17.45,15.85,15.38,1976.5,0,0,0,0,..Y,0,9,10,9,,86.529743
345,60,1499-0036148,344.995698,59.975962,0.489,0.346,0.0,18.78,16.75,18.26,16.26,14.27,1976.5,0,0,0,0,...,0,2,3,3,,86.882672
345,60,1499-0036150,345.003153,59.975823,0.271,0.22,0.0,19.27,18.19,19.79,18.07,17.62,1976.5,-10,2,3,6,...,0,8,1,3,,87.222025
345,60,1499-0036139,344.959623,59.986303,0.841,0.281,0.0,19.87,,,19.31,18.66,1979.7,144,-328,7,29,...,0,,,1,,87.839326
345,60,1499-0036140,344.966231,59.982323,0.315,0.201,90.0,19.45,18.12,19.46,18.07,17.12,1976.5,-10,-4,8,0,..Y,0,8,1,3,,88.013292
345,60,1500-0035834,344.962656,60.016078,0.315,0.202,90.0,,17.57,,18.82,18.15,1979.7,-10,-50,8,0,...,,9,,2,,88.692753
345,60,1499-0036156,345.029931,59.980306,0.223,0.215,0.0,15.16,12.5,15.11,12.44,11.28,1976.5,0,0,0,0,..Y,0,3,9,8,,89.055663
345,60,1500-0035833,344.961545,60.015698,0.487,0.327,90.0,,18.93,20.79,19.3,,1978.3,0,0,0,0,...,,4,1,1,,89.345828
345,60,1500-0035849,345.044981,60.010542,0.228,0.201,0.0,,18.83,20.6,18.82,18.13,1982.1,8,-4,0,4,...,,3,2,3,,89.407356
345,60,1499-0036140,344.964612,59.982484,0.303,0.21,90.0,,18.28,20.56,17.76,16.76,1982.1,10,-8,9,2,...,,8,3,3,,89.643189
345,60,1499-0036137,344.950614,59.996473,0.21,0.204,90.0,17.7,15.91,17.83,16.09,15.15,1976.5,0,0,0,0,..Y,0,8,10,9,,89.801773
345,60,1499-0036148,344.996709,59.975067,0.206,0.2,0.0,17.49,16.01,17.57,16.14,15.39,1976.5,0,0,0,0,..Y,0,4,4,8,,89.954128
345,60,1499-0036154,345.02032,59.97717,0.22,0.218,90.0,,16.76,19.91,17.19,16.07,1982.1,0,0,0,0,...,,3,6,3,,89.964392
345,60,1499-0036161,345.050173,59.999767,0.212,0.206,0.0,18.78,16.52,18.97,16.86,15.88,1976.5,0,0,0,0,..Y,0,3,8,9,,90.315693
345,60,1500-0035831,344.949667,60.003406,0.361,0.294,0.0,,18.01,20.33,17.11,16.73,1982.1,0,0,0,0,...,,8,2,1,,91.420809
345,60,1500-0035850,345.046314,60.010514,1.019,0.29,90.0,,18.85,,19.39,,1972.7,0,0,0,0,...,,3,,1,,91.543466
345,60,1500-0035834,344.963442,60.01782,0.252,0.205,0.0,18.65,16.37,18.36,16.56,15.91,1976.5,-8,-2,1,5,..Y,0,4,8,7,,91.887675
345,60,1500-0035830,344.949209,60.006148,0.327,0.218,0.0,19.6,16.3,19.47,16.41,14.44,1976.5,0,0,0,0,..Y,0,4,9,9,,94.05649
345,60,1500-0035830,344.948487,60.004606,0.33,0.254,0.0,18.64,16.76,18.98,17.05,15.26,1976.5,0,0,0,0,..Y,0,2,8,9,,94.187936
345,60,1499-0036137,344.949453,59.993195,0.205,0.2,0.0,,18.8,,19.15,18.37,1979.7,-4,-16,0,1,...,,4,,8,,94.233774
345,60,1499-0036153,345.016028,59.974992,0.211,0.209,0.0,19.0,17.09,19.14,17.5,17.02,1976.5,0,0,0,0,..Y,0,1,2,8,,94.541674
345,60,1499-0036156,345.030098,59.978003,0.529,0.24,90.0,,17.82,19.81,15.97,15.85,1982.1,0,0,0,0,...,,9,1,8,,95.958019
345,60,1499-0036162,345.053384,59.998156,0.225,0.213,0.0,,18.4,20.84,18.83,17.77,1982.1,0,0,0,0,...,,3,2,4,,96.323031
345,60,1500-0035837,344.981075,60.025553,0.825,0.254,90.0,,,20.74,19.23,18.05,1991.6,0,-70,94,18,...,,,1,5,,98.090882
